"individual","status","MDS1","MDS2","pred_immigrant","pred_resident"
"Wytham_UK_N200706","immigrant",-0.136538774960694,-0.0411092956780143,0,1
"Wytham_UK_N199087","immigrant",-0.0382305248732083,-0.0389862442428475,1,0
"Wytham_UK_J644903","immigrant",0.0451549235618959,-0.146997098269289,0.08,0.92
"Wytham_UK_J644960","immigrant",-0.107960510813256,-0.0266424053812427,0.96,0.04
"Wytham_UK_T177617","immigrant",0.245348150835388,-0.0169416376381862,1,0
"Wytham_UK_T177774","immigrant",-0.0708878799217112,-0.0236167951603716,0.34,0.66
"Wytham_UK_P439583","immigrant",-0.0849112288457414,-0.128340636161166,1,0
"Wytham_UK_T177579","immigrant",-0.127798796505074,0.0810206350961959,0.2,0.8
"Wytham_UK_J644995","immigrant",-0.111511870075772,-0.0060254045500938,0,1
"Wytham_UK_T550200","immigrant",0.284492928411844,0.0111632451096291,1,0
"Wytham_UK_L312169","immigrant",-0.121688416258129,-0.0476477366087572,0,1
"Wytham_UK_T177501","immigrant",0.106795429188201,-0.0661355555258,1,0
"Wytham_UK_T177719","immigrant",-0.119834489512296,-0.0297548897323515,0,1
"Wytham_UK_R040127","immigrant",0.138939508745063,-0.0394141054934828,1,0
"Wytham_UK_TB26324","immigrant",-0.046226606362503,-0.0685144828706038,0.3,0.7
"Wytham_UK_T550071","immigrant",-0.128426671151177,0.078410284616751,0.04,0.96
"Wytham_UK_F952460","immigrant",-0.0878860899411592,0.0115193317956702,0,1
"Wytham_UK_T176932","immigrant",-0.0701155690940622,-0.0681089656697916,0.64,0.36
"Wytham_UK_N199973","immigrant",-0.0909500472121826,-0.128006708839859,1,0
"Wytham_UK_T640776","immigrant",-0.118497470519233,-0.0432030251066456,0,1
"Wytham_UK_N200905","immigrant",0.294483538832832,0.0371245195583684,1,0
"Wytham_UK_N200583","immigrant",0.336585025552339,0.0306602008799968,1,0
"Wytham_UK_T176922","immigrant",0.00709671624535348,-0.0198006351737559,1,0
"Wytham_UK_X235623","immigrant",0.0350441456301998,-0.0985288290262465,0.34,0.66
"Wytham_UK_R639113","immigrant",-0.102718165043355,-0.140313971565229,1,0
"Wytham_UK_T176481","immigrant",-0.0800671012156629,-0.0674645614361908,0.06,0.94
"Wytham_UK_R639132","immigrant",-0.00791579544669994,-0.0904165193643824,0.56,0.44
"Wytham_UK_TB26874","immigrant",0.430629262231076,0.0755865898728418,1,0
"Wytham_UK_T640309","immigrant",0.36020106152597,0.0624247091508567,1,0
"Wytham_UK_R040136","immigrant",0.396458009095823,0.0673235645818555,1,0
"Wytham_UK_X235104","immigrant",0.454131675334396,0.0752487855146571,1,0
"Wytham_UK_TB27138","resident",-0.0999612099520327,-0.0987483418246144,0.26,0.74
"Wytham_UK_TA16909","resident",-0.140364276195364,0.102008684624548,0,1
"Wytham_UK_TK26114","resident",-0.0490652319105659,-0.143901174141414,0.7,0.3
"Wytham_UK_TB26065","resident",-0.182116469446902,0.1949265895055,0,1
"Wytham_UK_TC59916","resident",-0.0773790948561688,-0.141331603253597,0.76,0.24
"Wytham_UK_VR91385","resident",-0.0272963650295992,-0.132023851487078,0.4,0.6
